pathway	Description	p.Val	FDR	Phenotype
GO_DENDRITE_DEVELOPMENT	GO_DENDRITE_DEVELOPMENT	4.91058036180534e-05	0.00901390922023098	1
GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE	5.15856654267647e-05	0.00924365995242456	1
GO_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	GO_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	5.39654688636444e-05	0.00927020862373414	1
GO_CELL_CYCLE_PHASE_TRANSITION	GO_CELL_CYCLE_PHASE_TRANSITION	5.41973398145499e-05	0.00927020862373414	1
GO_REGULATION_OF_CELL_CYCLE	GO_REGULATION_OF_CELL_CYCLE	6.32565273565301e-05	0.0105793027752277	1
GO_CELLULAR_RESPONSE_TO_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_STIMULUS	GO_CELLULAR_RESPONSE_TO_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_STIMULUS	7.13257217584906e-05	0.0116381870678285	1
GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	GO_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	7.26806792702553e-05	0.0116381870678285	1
GO_RESPONSE_TO_NERVE_GROWTH_FACTOR	GO_RESPONSE_TO_NERVE_GROWTH_FACTOR	8.23900390236616e-05	0.0129180715352516	1
GO_REGULATION_OF_HISTONE_H3_K4_METHYLATION	GO_REGULATION_OF_HISTONE_H3_K4_METHYLATION	9.13332146547261e-05	0.0136954527124674	1
GO_RNA_SPLICING	GO_RNA_SPLICING	9.27024134773903e-05	0.0136954527124674	1
GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	GO_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	9.28073463109007e-05	0.0136954527124674	1
GO_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	GO_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	0.000104873824527138	0.0151784692959854	1
GO_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	GO_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.000148812798117516	0.0211314173326873	1
GO_CYTOSKELETON_ORGANIZATION	GO_CYTOSKELETON_ORGANIZATION	0.000159584913793458	0.0220167163513527	1
GO_RNA_LOCALIZATION	GO_RNA_LOCALIZATION	0.000160937150857275	0.0220167163513527	1
GO_NEGATIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	GO_NEGATIVE_REGULATION_OF_CHROMATIN_ORGANIZATION	0.000163823560413998	0.0220167163513527	1
GO_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	GO_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	0.000167819379188623	0.0221580464521681	1
GO_RNA_EXPORT_FROM_NUCLEUS	GO_RNA_EXPORT_FROM_NUCLEUS	0.000174989953060136	0.0227064549436307	1
GO_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	GO_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	0.000183314228422875	0.0233834386967891	1
GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	0.000191275911523375	0.0239923751687486	1
GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.00022127100907798	0.0272997641691948	1
GO_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	GO_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	0.000228705243823994	0.0277618655648287	1
GO_REGULATION_OF_CELL_CYCLE_PROCESS	GO_REGULATION_OF_CELL_CYCLE_PROCESS	0.000235403446770131	0.0281213704824128	1
GO_DENDRITE_MORPHOGENESIS	GO_DENDRITE_MORPHOGENESIS	0.000248756370356413	0.0292044254063527	1
GO_MICROTUBULE_BASED_PROCESS	GO_MICROTUBULE_BASED_PROCESS	0.000254503757477124	0.0292044254063527	1
GO_DNA_REPAIR	GO_DNA_REPAIR	0.000256111091791028	0.0292044254063527	1
GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	0.000261716858353636	0.0293982250144697	1
GO_AXO_DENDRITIC_TRANSPORT	GO_AXO_DENDRITIC_TRANSPORT	0.000276027596509567	0.0305497601666323	1
GO_RESPONSE_TO_GROWTH_FACTOR	GO_RESPONSE_TO_GROWTH_FACTOR	0.000311784491327947	0.0338195574978928	1
GO_PROTEIN_ACETYLATION	GO_PROTEIN_ACETYLATION	0.000318984907859775	0.0338195574978928	1
GO_MRNA_TRANSPORT	GO_MRNA_TRANSPORT	0.000319052429225403	0.0338195574978928	1
GO_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	GO_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	0.000370358129509188	0.0387127122595299	1
GO_MRNA_PROCESSING	GO_MRNA_PROCESSING	0.000401162573200808	0.0413582126836888	1
GO_NEURON_MIGRATION	GO_NEURON_MIGRATION	0.000453553856753727	0.0461276530530885	1
GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	0.000498361606829199	0.0488892044857823	1
GO_CELLULAR_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	GO_CELLULAR_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	0.000499764071418346	0.0488892044857823	1
GO_CELL_CYCLE_G2_M_PHASE_TRANSITION	GO_CELL_CYCLE_G2_M_PHASE_TRANSITION	0.000500195156179276	0.0488892044857823	1
GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	GO_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	0.000559336254817599	0.0539163746341315	1
GO_NEURON_PROJECTION_EXTENSION	GO_NEURON_PROJECTION_EXTENSION	0.000565957161320274	0.0539163746341315	1
GO_REGULATION_OF_CYTOSKELETON_ORGANIZATION	GO_REGULATION_OF_CYTOSKELETON_ORGANIZATION	0.000600201305516067	0.0564639378164241	1
GO_PEPTIDYL_LYSINE_MODIFICATION	GO_PEPTIDYL_LYSINE_MODIFICATION	0.000617152433458217	0.0571171590589082	1
GO_DEVELOPMENTAL_CELL_GROWTH	GO_DEVELOPMENTAL_CELL_GROWTH	0.00062265395845888	0.0571171590589082	1
GO_NEUROTRANSMITTER_SECRETION	GO_NEUROTRANSMITTER_SECRETION	0.000629912862329177	0.0571171590589082	1
GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS	GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS	0.000641509971885878	0.0574762386715847	1
GO_DEVELOPMENTAL_MATURATION	GO_DEVELOPMENTAL_MATURATION	0.000703761556788128	0.0615820718865485	1
GO_MAINTENANCE_OF_PRESYNAPTIC_ACTIVE_ZONE_STRUCTURE	GO_MAINTENANCE_OF_PRESYNAPTIC_ACTIVE_ZONE_STRUCTURE	0.000720066745418053	0.0615820718865485	1
GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K4_METHYLATION	GO_NEGATIVE_REGULATION_OF_HISTONE_H3_K4_METHYLATION	0.000720066745418053	0.0615820718865485	1
GO_PROTEIN_LOCALIZATION_TO_JUXTAPARANODE_REGION_OF_AXON	GO_PROTEIN_LOCALIZATION_TO_JUXTAPARANODE_REGION_OF_AXON	0.000720066745418053	0.0615820718865485	1
GO_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	GO_SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	0.00073747079197921	0.0619108016119039	1
GO_NEURON_PROJECTION_GUIDANCE	GO_NEURON_PROJECTION_GUIDANCE	0.000740363027514131	0.0619108016119039	1
GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	0.000759238092843545	0.0621314710719224	1
GO_NEURON_MATURATION	GO_NEURON_MATURATION	0.000759513066518318	0.0621314710719224	1
GO_INTRACELLULAR_TRANSPORT	GO_INTRACELLULAR_TRANSPORT	0.000782715741636119	0.0633410609844455	1
GO_NUCLEAR_TRANSPORT	GO_NUCLEAR_TRANSPORT	0.000819200890315366	0.06558836064376	1
GO_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	GO_NEGATIVE_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	0.00084855021355723	0.0666942050383144	1
GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	0.000856831683938702	0.0666942050383144	1
GO_DNA_RECOMBINATION	GO_DNA_RECOMBINATION	0.000859598443890048	0.0666942050383144	1
GO_REGULATION_OF_MITOTIC_CELL_CYCLE	GO_REGULATION_OF_MITOTIC_CELL_CYCLE	0.000992124502116352	0.0755129164480756	1
GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION	0.00100143123016067	0.0755129164480756	1
GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	0.00100336056933398	0.0755129164480756	1
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	GO_ATP_DEPENDENT_CHROMATIN_REMODELING	0.00101961941652906	0.0759227844459417	1
GO_POSITIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	GO_POSITIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	0.0010289827283399	0.0759227844459417	1
GO_REGULATION_OF_CELL_MORPHOGENESIS	GO_REGULATION_OF_CELL_MORPHOGENESIS	0.00106668845652112	0.0779407507162909	1
GO_NEGATIVE_REGULATION_OF_AMINE_TRANSPORT	GO_NEGATIVE_REGULATION_OF_AMINE_TRANSPORT	0.0011012804019838	0.0796945798589432	1
GO_RECOMBINATIONAL_REPAIR	GO_RECOMBINATIONAL_REPAIR	0.00114729370915141	0.0822336424292716	1
GO_REGULATION_OF_CHROMATIN_ORGANIZATION	GO_REGULATION_OF_CHROMATIN_ORGANIZATION	0.00117995891821292	0.0835337157683805	1
GO_PROTEIN_ACYLATION	GO_PROTEIN_ACYLATION	0.00118763055902428	0.0835337157683805	1
GO_POSITIVE_REGULATION_OF_NEURON_DEATH	GO_POSITIVE_REGULATION_OF_NEURON_DEATH	0.00124206397912255	0.0865534583970031	1
GO_HISTONE_H3_K4_METHYLATION	GO_HISTONE_H3_K4_METHYLATION	0.00135938911028626	0.093860205908389	1
GO_DOUBLE_STRAND_BREAK_REPAIR	GO_DOUBLE_STRAND_BREAK_REPAIR	0.0014599313901078	0.0993887169940853	1
GO_REGULATION_OF_HISTONE_H3_K36_METHYLATION	GO_REGULATION_OF_HISTONE_H3_K36_METHYLATION	0.00149512435100493	0.0993887169940853	1
GO_NORADRENERGIC_NEURON_DIFFERENTIATION	GO_NORADRENERGIC_NEURON_DIFFERENTIATION	0.00149512435100493	0.0993887169940853	1
GO_NUCLEAR_EXPORT	GO_NUCLEAR_EXPORT	0.00150156877988985	0.0993887169940853	1
GO_REGULATION_OF_CELL_DIFFERENTIATION	GO_REGULATION_OF_CELL_DIFFERENTIATION	0.00151651054933213	0.0993887169940853	1
GO_SYNAPTIC_SIGNALING	GO_SYNAPTIC_SIGNALING	0.00151869551612009	0.0993887169940853	1
GO_SYNAPTIC_VESICLE_LOCALIZATION	GO_SYNAPTIC_VESICLE_LOCALIZATION	0.00154956258867819	0.100534552089587	1
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	0.00164398781326618	0.103561572181179	1
GO_DNA_DEPENDENT_DNA_REPLICATION	GO_DNA_DEPENDENT_DNA_REPLICATION	0.00165000536964002	0.103561572181179	1
GO_NEURAL_PRECURSOR_CELL_PROLIFERATION	GO_NEURAL_PRECURSOR_CELL_PROLIFERATION	0.00165000536964002	0.103561572181179	1
GO_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	GO_REGULATION_OF_PEPTIDYL_LYSINE_ACETYLATION	0.00165126078418037	0.103561572181179	1
GO_REGULATION_OF_TRANSPORT	GO_REGULATION_OF_TRANSPORT	0.00177059577803776	0.110128130789357	1
GO_CELL_CYCLE_G1_S_PHASE_TRANSITION	GO_CELL_CYCLE_G1_S_PHASE_TRANSITION	0.00182324040692496	0.111928893312084	1
GO_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	GO_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	0.00182929230366546	0.111928893312084	1
GO_PRESYNAPTIC_ACTIVE_ZONE_ORGANIZATION	GO_PRESYNAPTIC_ACTIVE_ZONE_ORGANIZATION	0.00198226262307603	0.120310552429598	1
GO_REGULATION_OF_DENDRITE_DEVELOPMENT	GO_REGULATION_OF_DENDRITE_DEVELOPMENT	0.00202297920932305	0.121799532234922	1
GO_REGULATION_OF_NEUROTRANSMITTER_SECRETION	GO_REGULATION_OF_NEUROTRANSMITTER_SECRETION	0.00212542996387819	0.12695226911228	1
GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	0.00215241087706823	0.12755152961272	1
GO_CELL_CYCLE_DNA_REPLICATION	GO_CELL_CYCLE_DNA_REPLICATION	0.00223003991481743	0.130335281278195	1
GO_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	GO_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	0.00223402222759596	0.130335281278195	1
GO_NEUROTRANSMITTER_TRANSPORT	GO_NEUROTRANSMITTER_TRANSPORT	0.00225456348996448	0.130521883272867	1
GO_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	GO_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION	0.00228538848648144	0.131296440834041	1
GO_COVALENT_CHROMATIN_MODIFICATION	GO_COVALENT_CHROMATIN_MODIFICATION	0.002518368185004	0.140241898634383	1
GO_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	GO_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	0.00253426763410524	0.140241898634383	1
GO_SYMPATHETIC_GANGLION_DEVELOPMENT	GO_SYMPATHETIC_GANGLION_DEVELOPMENT	0.00253426763410524	0.140241898634383	1
GO_DENDRITIC_TRANSPORT	GO_DENDRITIC_TRANSPORT	0.00253426763410524	0.140241898634383	1
GO_PROTEIN_LOCALIZATION_TO_AXON	GO_PROTEIN_LOCALIZATION_TO_AXON	0.00253426763410524	0.140241898634383	1
GO_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS	GO_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS	0.00260682441188538	0.143204091414959	1
GO_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	GO_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	0.00263299965499695	0.143593879735558	1
GO_METENCEPHALON_DEVELOPMENT	GO_METENCEPHALON_DEVELOPMENT	0.00270756755037979	0.145551095601131	1
GO_MRNA_EXPORT_FROM_NUCLEUS	GO_MRNA_EXPORT_FROM_NUCLEUS	0.00270756755037979	0.145551095601131	1
GO_REGULATION_OF_HISTONE_METHYLATION	GO_REGULATION_OF_HISTONE_METHYLATION	0.00278358166948749	0.147110841870464	1
GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	GO_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	0.00278358166948749	0.147110841870464	1
GO_DENDRITE_EXTENSION	GO_DENDRITE_EXTENSION	0.00280545967176559	0.147110841870464	1
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	GO_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	0.00281477029356189	0.147110841870464	1
GO_ANATOMICAL_STRUCTURE_MATURATION	GO_ANATOMICAL_STRUCTURE_MATURATION	0.00286820785672965	0.148869878136189	1
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	0.00292012293038695	0.15052633680885	1
GO_LOCOMOTION	GO_LOCOMOTION	0.00297736075170214	0.15243276882524	1
GO_PEPTIDYL_LYSINE_ACETYLATION	GO_PEPTIDYL_LYSINE_ACETYLATION	0.00313885233219351	0.159106868606419	1
GO_G1_TO_G0_TRANSITION	GO_G1_TO_G0_TRANSITION	0.00315000311219193	0.159106868606419	1
GO_NEGATIVE_REGULATION_OF_BINDING	GO_NEGATIVE_REGULATION_OF_BINDING	0.00323317027187367	0.160540521724977	1
GO_SYNAPTIC_VESICLE_RECYCLING	GO_SYNAPTIC_VESICLE_RECYCLING	0.00325577910116173	0.160540521724977	1
GO_REGULATION_OF_PROTEIN_ACETYLATION	GO_REGULATION_OF_PROTEIN_ACETYLATION	0.00325577910116173	0.160540521724977	1
GO_SYNAPTIC_VESICLE_EXOCYTOSIS	GO_SYNAPTIC_VESICLE_EXOCYTOSIS	0.00327446008670953	0.160540521724977	1
GO_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION	GO_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION	0.00328504389392059	0.160540521724977	1
GO_REGULATION_OF_CELLULAR_LOCALIZATION	GO_REGULATION_OF_CELLULAR_LOCALIZATION	0.0033989823177006	0.165037038212998	1
GO_SPINDLE_ORGANIZATION	GO_SPINDLE_ORGANIZATION	0.00342813172159556	0.165385380363642	1
GO_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE	GO_REGULATION_OF_PROTEIN_TARGETING_TO_MEMBRANE	0.00360298130659163	0.172713613461201	1
GO_CELLULAR_RESPONSE_TO_DRUG	GO_CELLULAR_RESPONSE_TO_DRUG	0.00365071691857365	0.173894275501173	1
GO_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	GO_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	0.00369338992557388	0.174820456477164	1
GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	GO_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	0.00377981635636216	0.175683791977074	1
GO_RESPONSE_TO_ABIOTIC_STIMULUS	GO_RESPONSE_TO_ABIOTIC_STIMULUS	0.00380046190894351	0.175683791977074	1
GO_PLASMA_MEMBRANE_REPAIR	GO_PLASMA_MEMBRANE_REPAIR	0.00382834731387724	0.175683791977074	1
GO_SYNAPTIC_VESICLE_MATURATION	GO_SYNAPTIC_VESICLE_MATURATION	0.00382834731387724	0.175683791977074	1
GO_COMMISSURAL_NEURON_AXON_GUIDANCE	GO_COMMISSURAL_NEURON_AXON_GUIDANCE	0.00382834731387724	0.175683791977074	1
GO_DNA_REPLICATION_INITIATION	GO_DNA_REPLICATION_INITIATION	0.00389641406039799	0.176758163041282	1
GO_AXON_EXTENSION	GO_AXON_EXTENSION	0.00392221807439465	0.176758163041282	1
GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	GO_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION	0.00392221807439465	0.176758163041282	1
GO_PALLIUM_DEVELOPMENT	GO_PALLIUM_DEVELOPMENT	0.003953771595585	0.177119553740314	1
GO_MICROTUBULE_POLYMERIZATION	GO_MICROTUBULE_POLYMERIZATION	0.00415925164407182	0.185222058421802	1
GO_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	GO_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	0.00447078853615457	0.194871675234089	1
GO_INTRACELLULAR_PROTEIN_TRANSPORT	GO_INTRACELLULAR_PROTEIN_TRANSPORT	0.00453846978515279	0.194871675234089	1
GO_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	GO_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	0.00455883128200681	0.194871675234089	1
GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	0.00456362175235469	0.194871675234089	1
GO_NEURONAL_ION_CHANNEL_CLUSTERING	GO_NEURONAL_ION_CHANNEL_CLUSTERING	0.00456819286084691	0.194871675234089	1
