pathway	Description	p.Val	FDR	Phenotype
GO_RESPONSE_TO_CYTOKINE	GO_RESPONSE_TO_CYTOKINE	3.80619915954082e-10	1.24545455976975e-07	1
GO_EXOCYTOSIS	GO_EXOCYTOSIS	3.98206058776503e-10	1.24870783264665e-07	1
GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	4.92416075750631e-10	1.4823693544397e-07	1
GO_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	GO_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	8.62752601199245e-10	2.49733695254827e-07	1
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	9.37054388059108e-10	2.59956352802577e-07	1
GO_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	GO_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	9.67150927248494e-10	2.59956352802577e-07	1
GO_BLOOD_VESSEL_MORPHOGENESIS	GO_BLOOD_VESSEL_MORPHOGENESIS	1.7078282326499e-09	4.43210871687005e-07	1
GO_CARDIOVASCULAR_SYSTEM_DEVELOPMENT	GO_CARDIOVASCULAR_SYSTEM_DEVELOPMENT	1.78263826769869e-09	4.47204520090012e-07	1
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION	2.07106282438821e-09	5.02800606978893e-07	1
GO_NEGATIVE_REGULATION_OF_CELL_DEATH	GO_NEGATIVE_REGULATION_OF_CELL_DEATH	2.38961472212002e-09	5.56099483825488e-07	1
GO_CELL_MOTILITY	GO_CELL_MOTILITY	2.43838466200387e-09	5.56099483825488e-07	1
GO_RESPONSE_TO_HORMONE	GO_RESPONSE_TO_HORMONE	2.97537608490171e-09	6.58608247499125e-07	1
GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	3.1758492987236e-09	6.67041370171496e-07	1
GO_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	GO_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	3.19073735399599e-09	6.67041370171496e-07	1
GO_CELL_SUBSTRATE_ADHESION	GO_CELL_SUBSTRATE_ADHESION	4.699994882677e-09	9.56004364514247e-07	1
GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	5.61163289462091e-09	1.11139866223466e-06	1
GO_IMMUNE_EFFECTOR_PROCESS	GO_IMMUNE_EFFECTOR_PROCESS	5.79957796511199e-09	1.1191698401393e-06	1
GO_REGULATION_OF_RESPONSE_TO_STRESS	GO_REGULATION_OF_RESPONSE_TO_STRESS	6.47979016025169e-09	1.21917251865136e-06	1
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	7.1241578025778e-09	1.27200025703588e-06	1
GO_REGULATION_OF_WOUND_HEALING	GO_REGULATION_OF_WOUND_HEALING	7.27139279935838e-09	1.27200025703588e-06	1
GO_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY	GO_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY	7.41174218634906e-09	1.27200025703588e-06	1
GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	7.56184494249916e-09	1.27200025703588e-06	1
GO_RESPONSE_TO_GROWTH_FACTOR	GO_RESPONSE_TO_GROWTH_FACTOR	7.60563533970428e-09	1.27200025703588e-06	1
GO_REGULATION_OF_HYDROLASE_ACTIVITY	GO_REGULATION_OF_HYDROLASE_ACTIVITY	7.85528211385289e-09	1.28519246062732e-06	1
GO_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GO_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	9.68906657178921e-09	1.55148755360182e-06	1
GO_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GO_REGULATION_OF_CELL_POPULATION_PROLIFERATION	1.06272755416947e-08	1.66626824430822e-06	1
GO_LEUKOCYTE_MEDIATED_IMMUNITY	GO_LEUKOCYTE_MEDIATED_IMMUNITY	1.10336890343252e-08	1.69468456474146e-06	1
GO_RESPONSE_TO_LIPID	GO_RESPONSE_TO_LIPID	1.27063808570569e-08	1.9125644466042e-06	1
GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	2.2891840668221e-08	3.36119153233679e-06	1
GO_POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	GO_POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	2.32237522829542e-08	3.36119153233679e-06	1
GO_POSITIVE_REGULATION_OF_LOCOMOTION	GO_POSITIVE_REGULATION_OF_LOCOMOTION	2.58643903752447e-08	3.63352688914402e-06	1
GO_RESPONSE_TO_STEROID_HORMONE	GO_RESPONSE_TO_STEROID_HORMONE	2.60710140863376e-08	3.63352688914402e-06	1
GO_REGULATION_OF_PHOSPHORYLATION	GO_REGULATION_OF_PHOSPHORYLATION	2.66218852128247e-08	3.64284196566761e-06	1
GO_CELL_CELL_ADHESION	GO_CELL_CELL_ADHESION	4.68588724577133e-08	6.29749775208483e-06	1
GO_REGULATION_OF_RESPONSE_TO_WOUNDING	GO_REGULATION_OF_RESPONSE_TO_WOUNDING	5.15895636844142e-08	6.81163256647196e-06	1
GO_RESPONSE_TO_BIOTIC_STIMULUS	GO_RESPONSE_TO_BIOTIC_STIMULUS	5.9052092843338e-08	7.662518116189e-06	1
GO_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	GO_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	6.02462635273158e-08	7.68497253061998e-06	1
GO_REGULATION_OF_KINASE_ACTIVITY	GO_REGULATION_OF_KINASE_ACTIVITY	6.47549657963603e-08	8.12243120972346e-06	1
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	GO_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	6.68875562334805e-08	8.25238931497007e-06	1
GO_REGULATION_OF_CELL_ADHESION	GO_REGULATION_OF_CELL_ADHESION	1.17072428700953e-07	1.42110822323125e-05	1
GO_REGULATION_OF_TRANSFERASE_ACTIVITY	GO_REGULATION_OF_TRANSFERASE_ACTIVITY	1.26278862200282e-07	1.50853129669733e-05	1
GO_PROTEIN_PHOSPHORYLATION	GO_PROTEIN_PHOSPHORYLATION	1.31553206369749e-07	1.54698348615427e-05	1
GO_ZYMOGEN_ACTIVATION	GO_ZYMOGEN_ACTIVATION	1.36666660913855e-07	1.58238967698103e-05	1
GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1.41390551534638e-07	1.61228074371164e-05	1
GO_POSITIVE_REGULATION_OF_CELL_DEATH	GO_POSITIVE_REGULATION_OF_CELL_DEATH	1.74826944308102e-07	1.96380236248176e-05	1
GO_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	GO_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	1.79337250992753e-07	1.98484139848744e-05	1
GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	1.92911914047168e-07	2.10229278470508e-05	1
GO_DEFENSE_RESPONSE	GO_DEFENSE_RESPONSE	1.95536134639058e-07	2.10229278470508e-05	1
GO_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	GO_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	2.31621022427106e-07	2.45518283772732e-05	1
GO_REGULATION_OF_CELL_SUBSTRATE_ADHESION	GO_REGULATION_OF_CELL_SUBSTRATE_ADHESION	3.15280584597031e-07	3.29555788844063e-05	1
GO_PROTEOLYSIS	GO_PROTEOLYSIS	3.36138985110987e-07	3.46545479718532e-05	1
GO_INTERACTION_WITH_HOST	GO_INTERACTION_WITH_HOST	3.47946092266071e-07	3.53870579783034e-05	1
GO_RESPONSE_TO_CORTICOSTEROID	GO_RESPONSE_TO_CORTICOSTEROID	3.69756899403755e-07	3.66406027136652e-05	1
GO_APOPTOTIC_SIGNALING_PATHWAY	GO_APOPTOTIC_SIGNALING_PATHWAY	3.70243065158325e-07	3.66406027136652e-05	1
GO_SIGNAL_TRANSDUCTION_BY_PROTEIN_PHOSPHORYLATION	GO_SIGNAL_TRANSDUCTION_BY_PROTEIN_PHOSPHORYLATION	3.74877279956447e-07	3.66406027136652e-05	1
GO_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	GO_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	4.03986531477532e-07	3.89795209730757e-05	1
GO_REGULATION_OF_MAPK_CASCADE	GO_REGULATION_OF_MAPK_CASCADE	4.46691383857338e-07	4.25544222140548e-05	1
GO_NEGATIVE_REGULATION_OF_SIGNALING	GO_NEGATIVE_REGULATION_OF_SIGNALING	4.84839359402038e-07	4.56112627357468e-05	1
GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	5.93085241142067e-07	5.51056731461136e-05	1
GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	GO_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	6.14590589551254e-07	5.64074241093017e-05	1
GO_REGULATION_OF_BINDING	GO_REGULATION_OF_BINDING	8.11615888046366e-07	7.35930261859873e-05	1
GO_POSITIVE_REGULATION_OF_SIGNALING	GO_POSITIVE_REGULATION_OF_SIGNALING	8.85103257098651e-07	7.93010370586244e-05	1
GO_MEMBRANE_RAFT_ASSEMBLY	GO_MEMBRANE_RAFT_ASSEMBLY	9.01834403874655e-07	7.98494791007136e-05	1
GO_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY	GO_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY	9.18706575889346e-07	8.01218567505322e-05	1
GO_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	GO_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY	9.26202702271631e-07	8.01218567505322e-05	1
GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	9.45172407964951e-07	8.02390245380437e-05	1
GO_EPITHELIAL_CELL_PROLIFERATION	GO_EPITHELIAL_CELL_PROLIFERATION	9.48880306123557e-07	8.02390245380437e-05	1
GO_AMEBOIDAL_TYPE_CELL_MIGRATION	GO_AMEBOIDAL_TYPE_CELL_MIGRATION	9.7870814374672e-07	8.18417498870869e-05	1
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	1.06104172098903e-06	8.72838958133135e-05	1
GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1.06698357890311e-06	8.72838958133135e-05	1
GO_REGULATION_OF_MAP_KINASE_ACTIVITY	GO_REGULATION_OF_MAP_KINASE_ACTIVITY	1.13505980089511e-06	9.1374077857057e-05	1
GO_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	GO_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	1.14126538912614e-06	9.1374077857057e-05	1
GO_REGULATION_OF_PROTEIN_LOCALIZATION	GO_REGULATION_OF_PROTEIN_LOCALIZATION	1.25799028068205e-06	9.96593142359277e-05	1
GO_TISSUE_MIGRATION	GO_TISSUE_MIGRATION	1.40476377109995e-06	0.000109260201411676	1
GO_POSITIVE_REGULATION_OF_CELL_ADHESION	GO_POSITIVE_REGULATION_OF_CELL_ADHESION	1.40821678673034e-06	0.000109260201411676	1
GO_REGULATION_OF_CELLULAR_LOCALIZATION	GO_REGULATION_OF_CELLULAR_LOCALIZATION	1.48944785952459e-06	0.00011438351623247	1
GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GO_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1.52603369796331e-06	0.000116009390008806	1
GO_EPITHELIUM_DEVELOPMENT	GO_EPITHELIUM_DEVELOPMENT	2.00490104249955e-06	0.000150888852458516	1
GO_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY	GO_NEGATIVE_REGULATION_OF_PEPTIDASE_ACTIVITY	2.11287676543597e-06	0.000157440698382882	1
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	2.16314426806204e-06	0.000159606115308185	1
GO_REGULATION_OF_CELL_DIFFERENTIATION	GO_REGULATION_OF_CELL_DIFFERENTIATION	2.32315194849086e-06	0.000169747976352837	1
GO_REGULATION_OF_COAGULATION	GO_REGULATION_OF_COAGULATION	2.46980208312724e-06	0.000178728177669381	1
GO_RESPONSE_TO_ABIOTIC_STIMULUS	GO_RESPONSE_TO_ABIOTIC_STIMULUS	2.73088392806565e-06	0.000195739356596401	1
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	2.85587091181679e-06	0.000202766834738992	1
GO_POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY	GO_POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY	3.1093474963309e-06	0.000218449849266341	1
GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	3.13481048641574e-06	0.000218449849266341	1
GO_RESPONSE_TO_BACTERIUM	GO_RESPONSE_TO_BACTERIUM	3.47298524354453e-06	0.000239795293054277	1
GO_REGULATION_OF_VASCULATURE_DEVELOPMENT	GO_REGULATION_OF_VASCULATURE_DEVELOPMENT	4.08530464761318e-06	0.000279509116163062	1
GO_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	GO_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	4.8303276022573e-06	0.000327504914726022	1
GO_REGULATION_OF_ERBB_SIGNALING_PATHWAY	GO_REGULATION_OF_ERBB_SIGNALING_PATHWAY	4.97550161533968e-06	0.000331377213779172	1
GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	4.97550161533968e-06	0.000331377213779172	1
GO_CELL_MATRIX_ADHESION	GO_CELL_MATRIX_ADHESION	5.36979117402366e-06	0.000354500424348264	1
GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	GO_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	5.54732618805794e-06	0.000363036320794122	1
GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	GO_CONTRACTILE_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	5.75251858002338e-06	0.000373219438217724	1
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	6.35155190396884e-06	0.000408562219053585	1
GO_ENTRY_INTO_HOST	GO_ENTRY_INTO_HOST	6.53371235581354e-06	0.00041671795923604	1
GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	GO_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	6.76956840269792e-06	0.000428132536123568	1
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	GO_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	8.03265855023339e-06	0.000503781568742138	1
GO_POSITIVE_REGULATION_OF_MAPK_CASCADE	GO_POSITIVE_REGULATION_OF_MAPK_CASCADE	8.52711706478839e-06	0.000530372587021466	1
GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS	GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS	8.84327275915106e-06	0.000545528449060417	1
GO_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	GO_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA	8.91697642317341e-06	0.000545602963908968	1
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	9.04539394965808e-06	0.000548997055363925	1
GO_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	GO_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	9.2617119329887e-06	0.000557629152061384	1
GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	GO_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	9.53438567777218e-06	0.00056500619378672	1
GO_ERBB_SIGNALING_PATHWAY	GO_ERBB_SIGNALING_PATHWAY	9.53438567777218e-06	0.00056500619378672	1
GO_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	GO_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	9.94348609262001e-06	0.000584645908852017	1
GO_REGULATION_OF_DEFENSE_RESPONSE	GO_REGULATION_OF_DEFENSE_RESPONSE	1.0046836162887e-05	0.000586143325285951	1
GO_CELL_JUNCTION_ORGANIZATION	GO_CELL_JUNCTION_ORGANIZATION	1.08982231547601e-05	0.000630923288174803	1
GO_POSITIVE_REGULATION_OF_PEPTIDASE_ACTIVITY	GO_POSITIVE_REGULATION_OF_PEPTIDASE_ACTIVITY	1.14889237958321e-05	0.000660043057155972	1
GO_POSITIVE_REGULATION_OF_PROTEOLYSIS	GO_POSITIVE_REGULATION_OF_PROTEOLYSIS	1.21546008006777e-05	0.000692996406256823	1
GO_REGULATION_OF_MULTI_ORGANISM_PROCESS	GO_REGULATION_OF_MULTI_ORGANISM_PROCESS	1.26825435535128e-05	0.000717660321682238	1
GO_CELL_JUNCTION_ASSEMBLY	GO_CELL_JUNCTION_ASSEMBLY	1.2879599288774e-05	0.000723372121248607	1
GO_POSITIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	GO_POSITIVE_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	1.36230615490169e-05	0.000759460453465936	1
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	1.60089439404288e-05	0.000885906706585787	1
GO_NEGATIVE_REGULATION_OF_WOUND_HEALING	GO_NEGATIVE_REGULATION_OF_WOUND_HEALING	1.65069630606083e-05	0.000906798569300277	1
GO_MEMBRANE_RAFT_ORGANIZATION	GO_MEMBRANE_RAFT_ORGANIZATION	1.87662594353915e-05	0.0010234410761649	1
GO_INFLAMMATORY_RESPONSE	GO_INFLAMMATORY_RESPONSE	1.95487788476656e-05	0.00105844683170886	1
GO_REGULATION_OF_CELL_MATRIX_ADHESION	GO_REGULATION_OF_CELL_MATRIX_ADHESION	2.07431152142357e-05	0.00111509060787384	1
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	2.1170620919886e-05	0.00113000065987988	1
GO_IN_UTERO_EMBRYONIC_DEVELOPMENT	GO_IN_UTERO_EMBRYONIC_DEVELOPMENT	2.27482069244367e-05	0.00120565496699515	1
GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	2.44750294313168e-05	0.00128810539510552	1
GO_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	GO_EPIDERMAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	2.59923596961957e-05	0.00134912220247976	1
GO_CELLULAR_RESPONSE_TO_MECHANICAL_STIMULUS	GO_CELLULAR_RESPONSE_TO_MECHANICAL_STIMULUS	2.59929204570243e-05	0.00134912220247976	1
GO_RESPONSE_TO_MECHANICAL_STIMULUS	GO_RESPONSE_TO_MECHANICAL_STIMULUS	2.65354135817648e-05	0.00136784604531755	1
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	2.72236941602312e-05	0.00139377906292449	1
GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	GO_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE	2.90311730366424e-05	0.00147627438022818	1
GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	GO_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	2.9458196218244e-05	0.00148793546804365	1
GO_PROTEIN_PROCESSING	GO_PROTEIN_PROCESSING	2.96645054155679e-05	0.00148836711838376	1
GO_PLASMINOGEN_ACTIVATION	GO_PLASMINOGEN_ACTIVATION	3.1899100169151e-05	0.00158988495280152	1
GO_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GO_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	3.37581004049735e-05	0.00167147015557783	1
GO_REGULATION_OF_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM	GO_REGULATION_OF_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM	3.5575006509023e-05	0.00174991829403207	1
GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	GO_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY	3.65079020848845e-05	0.00178414591617429	1
GO_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	GO_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	3.87040683747811e-05	0.00187926979734582	1
GO_REGULATION_OF_PROTEIN_BINDING	GO_REGULATION_OF_PROTEIN_BINDING	3.95785251330818e-05	0.00190941012917676	1
GO_POSITIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS	GO_POSITIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS	4.0013659961585e-05	0.0019181070373942	1
GO_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	GO_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION	4.16757973190295e-05	0.00198513956090516	1
GO_FIBRINOLYSIS	GO_FIBRINOLYSIS	4.37505942395747e-05	0.0020708614606732	1
GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	4.4172955978606e-05	0.00207778541684368	1
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING	4.49928081360919e-05	0.00210320418653558	1
GO_MESODERM_DEVELOPMENT	GO_MESODERM_DEVELOPMENT	4.63119979073618e-05	0.00215150676698028	1
GO_PROTEIN_MATURATION	GO_PROTEIN_MATURATION	4.75748443991087e-05	0.00219661520826805	1
