Dataset Name,Bait source (initial),Data source,Data source link,Treatment regimen,Data availability,Cancer type,Standardized Tissue,Treatment type,Multi-omics,Sample size,Criteria for R,Criteria for NR,Number of R,Number of NR,Drug targets,NCT ID,Pubmed link,Marker data ,Tissue collection,Prior treatment status,Inclusion criteria,Treatment regimen details,Therapy type,Code availability (BHK Lab),Processed data availability,Link to ORCESTRA,Usage status in meta-analysis,Additional notes
E-MEXP-433,CTRDB,EBI ArrayExpress,E-MEXP-433,Imatinib,,Leukemia,Myeloid,Targeted therapy,Microarray,45,no cytogenetic response to imatinib,cytogenetic response to imatinib,30,15,,,https://pubmed.ncbi.nlm.nih.gov/16728981,,,,,,,No,No,NA,,CTRDB ID: CTR_Microarray_14
GSE42822,CTRDB,NCI GEO,GSE42822,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)|TX (Capecitabine+Docetaxel),,Breast cancer,Breast,Chemotherapy,Microarray,66,pCR,RD,25,41,,,https://pubmed.ncbi.nlm.nih.gov/23158478,HER2 IHC or FISH,Pre-treatment fine-needle aspiration (FNA) specimens; for RNA extraction and gene expression profiling,NA,NA,"women with stage II/III breast cancer. Patients with HER2-negative cancer received FEC 100, which consisted of 5-fluorouracil (Adrucil [5-FU], 500 mg/m2) + epirubicin (Ellence, 100 mg/m2) + cyclophosphamide (Cytoxan, 500 mg/m2) IV on Day 1 every 21 days (x 4 cycles, 12 weeks total) followed by wTX, Taxotere (35 mg/m2) weekly Days 1 and 8 every 21 days (x 4 cycles, 12 weeks total), (FEX/TX group). Patients with HER2-positive tumors received FEC 75, which consisted of 5-fluorouracil (Adrucil [5-FU], 500 mg/m2) + epirubicin (Ellence, 75 mg/m2) + cyclophosphamide (Cytoxan, 500 mg/m2) IV on Day 1 every 21 days with trastuzumab (Herceptin) 4 mg/kg IVx1 as initial loading dose on Day 1 followed by 2 mg/kg IV weekly x12 (x4 cycles, 12 weeks total), followed by wTX, Taxotere (35 mg/m2) weekly Days 1 and 8 every 21 days (x 4 cycles, 12 weeks total) and Herceptin 2 mg/kg weekly x12, (FEC/TX plus H group).",Combination,No,No,NA,,"CTRDB ID: CTR_Microarray_107
This is a validation study of cell Line Derived Multi-Gene Predictor"
GSE22093,CTRDB,NCI GEO,GSE22093,FEC (Cyclophosphamide+Epirubicin+Fluorouracil),,Breast cancer,Breast,Chemotherapy,Microarray,54,pCR,RD,21,33,,,"https://pubmed.ncbi.nlm.nih.gov/21191116,23185353",HER2-normal lymph node-negative,"For all of these data sets, the gene expression profiles of patients were measured from fine-needle aspiration specimens before chemotherapy treatment.",No,,"Patients from preoperative datasets recived chemotherapy regimen with paclitaxel and 5-fluorouracil, doxorubicin, and cyclophosphamide",Combination,No,No,NA,,"CTRDB ID: CTR_Microarray_60. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
Gene set analysis was performed on gene expression data from three cohorts of 234, 170, and 175 patients with HER2-normal lymph node-negative breast cancer who received no systemic adjuvant therapy to identify gene sets associated prognosis and three additional cohorts of 198, 85, and 62 patients with HER2-normal stage I-III breast cancer who received preoperative chemotherapy to identify gene sets associated with pathological complete response to therapy. The patient’s pathologic complete response (pCR) was tested after treatment to demonstrate the chemotherapy efficacy."
GSE32646,CTRDB,NCI GEO,GSE32646,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel),,Breast cancer,Breast,Chemotherapy,Microarray,44,pCR (Annotation: Pathological complete response was defined as no evidence of residual invasive cancer in both breast and axilla.),nCR,19,25,,,https://pubmed.ncbi.nlm.nih.gov/22320227,Glutathione S-transferase P1 by IHC; HER2 FISH; Ki-67; GSTP1 promoter methylation,"Prior to NAC, every patient underwent vacuum-assisted core biopsy of tumors. The tumor samples obtained were then subjected to histological examination and DNA and RNA extraction.","Yes; In this study, primary breast cancer patients (n = 123, stage II–III) treated with neoadjuvant (NAC) P-FEC were analyzed.",,"Primary breast cancer patients (n = 123, T1-4b N0-1 M0) who were consecutively recruited for the present study had been treated with NAC consisting of paclitaxel (80 mg/m2) weekly for 12 cycles followed by 5-FU (500 mg/m2), epirubicin (75 mg/m2) and cyclophosphamide (500 mg/m2) every 3 weeks for four cycles (paclitaxel followed by 5-fluorouracil/epirubicin/cyclophosphamide [P-FEC]) at Osaka University Hospital between 2004 and 2010. NAC was indicated for stage IIA–IIIB breast cancer patients.",Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_72. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
GSE140494,CTRDB,NCI GEO,GSE140494,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)+Docetaxel,,Breast cancer,Breast,Chemotherapy,Microarray,28, pCR/pPR (pathological complete and partial responders),pNC (non-responders),19,9,,,https://pubmed.ncbi.nlm.nih.gov/33542080,"Clinical variables: ER status, HER2 status",Pre-treatment core needle biopsies were obtained from primary tumors and stored at -80°C until analysis.,NA,NA,"Patients received three 3-week cycles of docetaxel (100 mg/m2) followed by three 3-week cycles of 5-fluorouracil (500 mg/m2), epirubicin (100 mg/m2), and cyclophosphamide (500 mg/m2) (FEC)",Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_62
GSE103424,CTRDB,NCI GEO,GSE103424,Cytarabine+Idarubicin,,Leukemia,Myeloid,Chemotherapy,RNAseq,36,CR (complete remission),Non-CR (non-complete remission),18,18,,,https://pubmed.ncbi.nlm.nih.gov/31356696,,NA,NA, Only AML patients who completed their first “7+3” or“7+3” like regimen and had qualified RNA extracted from the bone marrow at initial diagnosis were enrolled. Patients who were <20 years of age and who died early during the “7+3” regimen were excluded. ,"“7+3"" or “7+3"" like regimens (Wikipedia : The name ""7+3"" comes from the duration of chemotherapy course, which consists of 7 days of standard-dose cytarabine, and 3 days of an anthracycline antibiotic or an anthracenedione, most often daunorubicin (can be substituted for doxorubicin or idarubicin or mitoxantrone).",Sequential ? ,No,No,NA,,"CTRDB ID: CTR_RNAseq_273
RNA-seq platform - Illumina NextSeq 500 (Homo sapiens)
Medical records of 373 consecutive patients diagnosed with de novo AML from 2004 to
2017 were retrospectively reviewed. 52 patients were divided into the CR group (n= 35) and non-CR group (n= 17) according to their treatment response after the first “7+3"" or “7+3"" like regimens."
GSE20271,CTRDB,NCI GEO,GSE20271,TFAC (Cyclophosphamide+Doxorubicin+Fluorouracil+Paclitaxel),,Breast cancer,Breast,Chemotherapy,Microarray,79, pCR (pCR was defined as the complete absence of invasive cancer cells in the breast and lymph nodes)," RD (Patients with clinical or radiological disease progression were considered as having residual disease (RD) in the final analysis. After completion of neoadjuvant chemotherapy, all patients underwent modified radical mastectomy or lumpectomy and sentinel lymph node biopsy or axillary node dissection as determined by the surgeon)",17,62,,,"https://pubmed.ncbi.nlm.nih.gov/20829329,23185353","Estrogen, progesterone 
and HER-2 receptor status ",All patients underwent a pretreatment fine-needle aspiration biopsy of the tumor for gene expression profiling and treatment response prediction.,,"Patients with clinical stage I–III breast cancer were eligible. Histological diagnosis of invasive cancer and estrogen, progesterone and HER-2 receptor status were determined from a diagnostic core needle or incisional biopsy before therapy. All patients had to agree to a separate, pre-treatment research fine needle aspiration (FNA) of the cancer for gene expression analysis.","Two hundred and seventy-three patients were randomly  assigned to receive either weekly paclitaxel × 12 followed by FAC × 4 (T/FAC, n = 138),  or FAC × 6 (n = 135) neoadjuvant chemotherapy",Combination - Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_106. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
GSE66305,CTRDB,NCI GEO,GSE66305,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel)+Trastuzumab+Lapatinib,,Breast cancer,Breast,Targeted therapy|Chemotherapy,Microarray,34,pCR (pCR was defined as the absence of invasive breast cancer in both the breast and the axilla.),RD,13,21,,,https://pubmed.ncbi.nlm.nih.gov/26245675,"HER2 IHC - Diagnosis of breast cancer stage II to IIIA, HER2 positivity according to the local laboratory (immunohistochemistry [IHC] 3+ or fluorescence in situ hybridization [FISH] amplification), and no prior therapy for breast cancer. The translational biomarker program included the central reassessment of HER2 status, protein biomarker evaluation (p95-HER2, PTEN, phosphorylated AKT [pAKT], Ki67, terminal deoxynucleotidyl transferase dUTP nick end labeling [TUNEL]), the assessment of gene expression profile and copy number (CN) variations, and the study of somatic mutations of PIK3CA. ",Genomic DNA and total RNA were extracted from pretreatment frozen core biopsies of the primary tumor.,,,"CHER-LOB is a phase II randomized multicenter trial in which 121 patients with primary HER2-positive breast cancer were randomized to receive preoperative chemotherapy with weekly paclitaxel for 12 weeks followed by 4 weekly courses over 3 weeks of the FEC regimen (fluorouracil, epirubicin, and cyclophosphamide) plus either trastuzumab (arm A), lapatinib (arm B), or the combination of trastuzumab and lapatinib (arm C). ",Combination - Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_55
GSE23988,CTRDB,NCI GEO,GSE23988,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)+Capecitabine+Docetaxel,,Breast cancer,Breast,Chemotherapy,Microarray,29,pCR,RD,13,16,,,https://pubmed.ncbi.nlm.nih.gov/21191116,Check Table 1 for a set of clinical markers,,,Prognostic : patients with stage I–II lymph node–negative breast cancers who received no systemic adjuvant therapy. neoadjuvant: patients with stage I–III breast cancer,neoadjuvant : see table 1,Combination - Sequential,No,No,NA,,"CTRDB ID: CTR_Microarray_96. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
Prognostic and neoadjuvant datasets included"
GSE42822,CTRDB,NCI GEO,GSE42822,FEC (Cyclophosphamide+Epirubicin+Fluorouracil)|TX (Capecitabine+Docetaxel)+Trastuzumab,,Breast cancer,Breast,Targeted therapy|Chemotherapy,Microarray,25,pCR,RD,12,13,,,https://pubmed.ncbi.nlm.nih.gov/23158478,HER2 IHC or FISH,Pre-treatment fine-needle aspiration (FNA) specimens,NA,"women with stage II/III breast cancer. Patients with HER2-negative cancer received FEC 100, which consisted of 5-fluorouracil (Adrucil [5-FU], 500 mg/m2) + epirubicin (Ellence, 100 mg/m2) + cyclophosphamide (Cytoxan, 500 mg/m2) IV on Day 1 every 21 days (x 4 cycles, 12 weeks total) followed by wTX, Taxotere (35 mg/m2) weekly Days 1 and 8 every 21 days (x 4 cycles, 12 weeks total), (FEX/TX group). Patients with HER2-positive tumors received FEC 75, which consisted of 5-fluorouracil (Adrucil [5-FU], 500 mg/m2) + epirubicin (Ellence, 75 mg/m2) + cyclophosphamide (Cytoxan, 500 mg/m2) IV on Day 1 every 21 days with trastuzumab (Herceptin) 4 mg/kg IVx1 as initial loading dose on Day 1 followed by 2 mg/kg IV weekly x12 (x4 cycles, 12 weeks total), followed by wTX, Taxotere (35 mg/m2) weekly Days 1 and 8 every 21 days (x 4 cycles, 12 weeks total) and Herceptin 2 mg/kg weekly x12, (FEC/TX plus H group).",,Combination,No,No,NA,,"CTRDB ID: CTR_Microarray_61
This is a validation study of cell Line Derived Multi-Gene Predictor. single arm neoadjuvant trial "
TCGA-LGG_phs000178,CTRDB,GDC|NCI dbGaP,TCGA-LGG|phs000178,Temozolomide,,Brain cancer,CNS/Brain,Chemotherapy,RNAseq,38, CR and PR,SD and PD,10,28,,,NA,,,,,,,No,No,NA,,CTRDB ID: CTR_RNAseq_342
GSE66399,SELECT,NCI GEO,GSE66399,Lapatinib,,Breast cancer,Breast,Targeted therapy,Microarray,88,pCR,RD,8,23,ERBB2|EGFR|TYMS|CHD1|TOP2A,,,"HER2 IHC
",Genomic DNA and total RNA were extracted from pretreatment frozen core biopsies of the primary tumor.,No,,"The phase II CherLOB study randomized 121 patients with stage II–IIIA, HER2-positive BC to preoperative chemotherapy with weekly paclitaxel followed by FEC (fluorouracil, epirubicin and cyclophosphamide) plus trastuzumab (Arm A), lapatinib (Arm B) or both (Arm C). Diagnosis of breast cancer stage II to IIIA, HER2 positivity according to the local laboratory (immunohistochemistry [IHC] 3+ or fluorescence in situ hybridization [FISH] amplification), and no prior therapy for breast cancer.",Combination - Sequential,No,No,NA,,NA
GSE66305,CTRDB,NCI GEO,GSE66305,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel)+Lapatinib,,Breast cancer,Breast,Chemotherapy,Microarray,31,pCR (pCR was defined as the absence of invasive breast cancer in both the breast and the axilla.),RD,8,23,,,https://pubmed.ncbi.nlm.nih.gov/26245675,"HER2 IHC - Diagnosis of breast cancer stage II to IIIA, HER2 positivity according to the local laboratory (immunohistochemistry [IHC] 3+ or fluorescence in situ hybridization [FISH] amplification), and no prior therapy for breast cancer. The translational biomarker program included the central reassessment of HER2 status, protein biomarker evaluation (p95-HER2, PTEN, phosphorylated AKT [pAKT], Ki67, terminal deoxynucleotidyl transferase dUTP nick end labeling [TUNEL]), the assessment of gene expression profile and copy number (CN) variations, and the study of somatic mutations of PIK3CA. ",Genomic DNA and total RNA were extracted from pretreatment frozen core biopsies of the primary tumor.,NA,,"CHER-LOB is a phase II randomized multicenter trial in which 121 patients with primary HER2-positive breast cancer were randomized to receive preoperative chemotherapy with weekly paclitaxel for 12 weeks followed by 4 weekly courses over 3 weeks of the FEC regimen (fluorouracil, epirubicin, and cyclophosphamide) plus either trastuzumab (arm A), lapatinib (arm B), or the combination of trastuzumab and lapatinib (arm C).",Combination - Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_47
GSE32646,CTRDB,NCI GEO,GSE32646,TFEC (Cyclophosphamide+Epirubicin+Fluorouracil+Paclitaxel),,Breast cancer,Breast,Chemotherapy,Microarray,71,pCR (Annotation: Pathological complete response was defined as no evidence of residual invasive cancer in both breast and axilla.),nCR,8,63,,,https://pubmed.ncbi.nlm.nih.gov/22320227,Glutathione S-transferase P1 by IHC; HER2 FISH; Ki-67; GSTP1 promoter methylation,"Prior to NAC, every patient underwent vacuum-assisted core biopsy of tumors. The tumor samples obtained were then subjected to histological examination and DNA and RNA extraction.","Yes; In this study, primary breast cancer patients (n = 123, stage II–III) treated with neoadjuvant (NAC) P-FEC were analyzed.",,"Primary breast cancer patients (n = 123, T1-4b N0-1 M0) who were consecutively recruited for the present study had been treated with NAC consisting of paclitaxel (80 mg/m2) weekly for 12 cycles followed by 5-FU (500 mg/m2), epirubicin (75 mg/m2) and cyclophosphamide (500 mg/m2) every 3 weeks for four cycles (paclitaxel followed by 5-fluorouracil/epirubicin/cyclophosphamide [P-FEC]) at Osaka University Hospital between 2004 and 2010. NAC was indicated for stage IIA–IIIB breast cancer patients.",Sequential,No,No,NA,,CTRDB ID: CTR_Microarray_104. More detail: https://www.pmgenomics.ca/bhklabwiki/doku.php?id=lab:data_sets:patient_drug_response_and_gene_expression
GSE28844,CTRDB,NCI GEO,GSE28844,Cyclophosphamide+Epirubicin+Gemcitabine+Paclitaxel+Trastuzumab,,Breast cancer,Breast,Targeted therapy|Chemotherapy,Microarray,16,good responders -GR (Miller & Payne grades 4 and 5),bad responders -BR (Miller & Payne grades 1 and 2),8,8,,,https://pubmed.ncbi.nlm.nih.gov/23326553,Check Table 1 for a set of clinical markers,Tumor samples from each patient included in this study (Table 1) were obtained before and after chemotherapy. Pre-chemotherapy tumor samples from the initial cohort were obtained during diagnosis through ultrasound-guided core needle biopsy and post-chemotherapy tumor samples were obtained from surgery pieces after mastectomy or surgical resection. ,Samples collected pre and post treatment  ,"patients with a histologically confirmed diagnosis of breast cancer and scheduled neoadjuvant chemotherapy treatment based on Anthracyclines and Taxanes, as determined by the medical oncology team. For further filtering, check methods in paper",,NA,No,No,NA,,"CTRDB ID: CTR_Microarray_103
Also have mid response –MR (Miller & Payne grade 3)"
